filename, language, Elixir, comment, blank, total
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash/auth_test.exs, Elixir, 74, 0, 15, 89
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash/deliveries_test.exs, Elixir, 59, 0, 14, 73
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash/entities_test.exs, Elixir, 71, 0, 14, 85
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash/items_test.exs, Elixir, 61, 0, 14, 75
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash/people_test.exs, Elixir, 59, 0, 14, 73
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash_web/controllers/courier_controller_test.exs, Elixir, 93, 0, 20, 113
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash_web/controllers/order_controller_test.exs, Elixir, 273, 1, 47, 321
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash_web/controllers/patient_controller_test.exs, Elixir, 93, 0, 20, 113
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash_web/controllers/pharmacy_controller_test.exs, Elixir, 96, 1, 21, 118
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash_web/controllers/user_controller_test.exs, Elixir, 145, 1, 30, 176
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/pharma_dash_web/views/error_view_test.exs, Elixir, 11, 1, 4, 16
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/support/channel_case.ex, Elixir, 27, 2, 9, 38
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/support/conn_case.ex, Elixir, 28, 2, 9, 39
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/support/data_case.ex, Elixir, 42, 0, 12, 54
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/support/test_utils.ex, Elixir, 0, 22, 6, 28
/Users/juribe/Desktop/dev/elixirDir/PharmaDash/server/test/test_helper.exs, Elixir, 2, 0, 1, 3
Total, -, 1134, 30, 250, 1414
